SF_ID,OTHER_ID,SF_NAME,SF_TYPE_CD,SF_TYPE,SF_STATUS_CD,SF_STATUS,SF_PRIORITY_CD,SF_PRIORITY,SF_PROBLEM_CODE,SF_PROBLEM_CODE_DESCRIPTION,HEIGHT_FT,VOLUME_CY,FLOW_GPM,KEYWORDS,SHAPEAREA,SHAPELEN,OBJECTID
815017,1761-08,1761-08,SPOIL,Spoil Area,ABAND,Abandoned,3,Environmental Impact,22,22 Spoil Pile,15,24000,,,16112.549289745,612.463473684229,11016143
815018,1762-01,1762-01,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,40,0,,,122196.94651904,1434.96960436425,11016144
815019,1762-02,1762-02,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,45,127000,,DH,17516.938928185,732.304678417782,11016145
815020,1762-03,1762-03,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,38,84000,,DH,19208.662509915,817.585761683027,11016146
815021,1762-04,1762-04,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,25,56000,,,7239.5801172,336.528297646235,11016147
815022,1762-05,1762-05,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,40,179000,,DH,27372.676366025,1094.52177201146,11016148
815023,1762-06,1762-06,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,55,287000,,DH,53291.21244878,1381.36458373135,11016149
815024,1762-07,1762-07,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,30,153000,,,30249.216357865,1132.57340774737,11016150
815025,1762-08,1762-08,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,23,95000,,,34458.21697221,916.885220243615,11016151
815026,1762-09,1762-09,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,35,700000,,,83169.48881527,1531.12522262222,11016152
815027,1762-10,1762-10,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,55,32000,,DH,3546.170664765,273.391104744729,11016153
815028,1762-11,1762-11,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,1000000,,DH,120852.15454401,3498.15660164077,11016154
815029,1762-12,1762-12,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,30,40000,,,11106.9237901,458.771983951608,11016155
815030,1762-13,1762-13,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,33,1800000,,,386125.732253905,5262.98552880728,11016156
815032,1762-15,1762-15,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,40,0,,DH,10712.250083285,445.461898100826,11016157
815033,1763-01,1763-01,ACSM,Coal Surface Mine,COM,Reclamation Complete,UNDET,Priority has not been determined,20,20 Dry Strip Mine,30,48000,,,18295.471959185,783.40089765271,11016158
815034,1763-02,1763-02,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,30,362000,,DH,119484.98111462,3722.48946307298,11016159
815035,1763-03,1763-03,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,25,75000,,,10777.68887959,415.195819256227,11016160
815036,1763-04,1763-04,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,33,54000,,DH,26700.347409865,1065.00899599252,11016161
815037,1763-05,1763-05,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,35,60000,,DH,41639.84462311,2207.01737125972,11016162
815038,1763-06,1763-06,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,35,48000,,DH,19776.520826085,522.831205464448,11016163
815039,1763-07,1763-07,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,20,24000,,,8004.64710281,439.004316037971,11016164
815040,1763-08,1763-08,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,25,119000,,DH,31929.603058985,708.873544017741,11016165
